method,graph,trial,penalty,fdp,tdp,d_cpdag,union_target_error,fit_seconds,metric_seconds,mip_gap,status,error,target_penalty,dcdi_hidden_dim,dcdi_mu_init,dcdi_max_iterations
gnies,1,2,1.0,0.7142857142857143,0.4285714285714286,14,7,3.756761942990124,0.0007742810994386,,ok,,,,,
gnies,1,2,3.0,0.25,1.0,3,8,1.132656752131879,0.0008485438302159,,ok,,,,,
gnies,1,2,6.0,0.25,1.0,3,8,1.1322618150152266,0.0008440357632935,,ok,,,,,
gnies,1,2,10.0,0.2857142857142857,0.7142857142857143,4,8,0.8765908470377326,0.0007327483035624,,ok,,,,,
gnies,1,2,30.0,0.4,0.5714285714285714,4,8,0.6156531162559986,0.0007800906896591,,ok,,,,,
mip_profiled,2,2,0.001,0.4827586206896552,0.8823529411764706,16,3,4.203937667887658,0.0015072859823703,0.0,ok,,,,,
mip_profiled,2,2,0.0025,0.4444444444444444,0.8823529411764706,14,3,4.241662066895515,0.0016617961227893,0.0,ok,,,,,
mip_profiled,2,2,0.005,0.375,0.8823529411764706,11,3,3.44959131302312,0.0013980767689645,0.0,ok,,,,,
mip_profiled,2,2,0.01,0.2105263157894736,0.8823529411764706,6,3,3.24038393702358,0.0013621281832456,0.0,ok,,,,,
mip_profiled,2,2,0.02,0.1176470588235294,0.8823529411764706,4,3,3.1428687791340053,0.0013432390987873,0.0,ok,,,,,
mip_profiled,2,2,0.04,0.1764705882352941,0.8235294117647058,6,3,3.1210244400426745,0.0013350192457437,0.0,ok,,,,,
mip_profiled,2,2,0.08,0.1764705882352941,0.8823529411764706,5,5,3.048486823681742,0.0013628210872411,2.673421025037628e-05,ok,,,,,
mip_profiled,2,2,0.1,0.1764705882352941,0.8823529411764706,5,6,3.027958664111793,0.0013572550378739,0.0,ok,,,,,
mip_profiled,2,2,0.16,0.2,0.8235294117647058,6,5,3.0222554369829595,0.001398142427206,0.0,ok,,,,,
mip_profiled,2,2,0.32,0.0,0.4705882352941176,9,7,2.9982182206586003,0.0014375271275639,0.0,ok,,,,,
mip_profiled,2,2,0.64,0.0,0.1764705882352941,14,13,3.0076805809512734,0.0011318898759782,0.0,ok,,,,,
gnies,2,2,3.0,0.625,0.5294117647058824,26,14,32.748777663800865,0.0018537030555307,,ok,,,,,
gnies,2,2,5.0,0.5714285714285714,0.5294117647058824,20,15,24.63471986213699,0.001370667014271,,ok,,,,,
gnies,2,2,7.0,0.3529411764705882,1.0,7,19,11.211652939207852,0.0027793929912149,,ok,,,,,
gnies,2,2,10.0,0.3529411764705882,1.0,7,19,11.239996266085654,0.0029160878621041,,ok,,,,,
gnies,2,2,15.0,0.3529411764705882,1.0,7,19,10.221886447630824,0.0027907448820769,,ok,,,,,
gnies,2,2,20.0,0.3529411764705882,1.0,7,19,10.239974251016974,0.0027701808139681,,ok,,,,,
gnies,2,2,30.0,0.375,0.9411764705882352,8,19,9.342882182914764,0.0026978841051459,,ok,,,,,
gnies,2,2,50.0,0.4,0.8823529411764706,9,19,7.622229074127972,0.002862000837922,,ok,,,,,
gnies,2,2,75.0,0.6,0.5882352941176471,15,19,5.667817435692996,0.0036883950233459,,ok,,,,,
gnies,2,2,100.0,0.75,0.4705882352941176,15,19,4.678332979325205,0.0026453640311956,,ok,,,,,
gnies,2,2,200.0,0.8,0.2941176470588235,17,19,3.4610386630520225,0.0016337279230356,,ok,,,,,
mip_profiled,3,2,0.001,0.5975609756097561,0.9142857142857144,52,5,3659.1759293964137,0.0046731689944863,0.003334012834469,ok_with_gap,,,,,
mip_profiled,3,2,0.0025,0.5285714285714286,0.9142857142857144,40,5,3658.916501066647,0.0048753898590803,0.0030777636167666,ok_with_gap,,,,,
mip_profiled,3,2,0.005,0.4590163934426229,0.9142857142857144,31,5,1917.1618046793155,0.0045086839236319,9.314474379454268e-05,ok,,,,,
mip_profiled,3,2,0.01,0.0789473684210526,0.9714285714285714,4,3,281.569652996026,0.0041986792348325,9.3574398518175e-06,ok,,,,,
mip_profiled,3,2,0.02,0.0,0.9714285714285714,1,2,132.1016469686292,0.0041625718586146,0.0,ok,,,,,
mip_profiled,3,2,0.04,0.0,0.9714285714285714,1,4,77.24857310391963,0.0041811726987361,5.05520816931834e-11,ok,,,,,
mip_profiled,3,2,0.08,0.0,0.9428571428571428,2,4,59.062327531166375,0.0039362362585961,0.0,ok,,,,,
mip_profiled,3,2,0.1,0.0294117647058823,0.9142857142857144,4,4,56.8668606178835,0.0041633183136582,0.0,ok,,,,,
mip_profiled,3,2,0.16,0.0909090909090909,0.8857142857142857,7,10,56.369528620969504,0.0042608082294464,0.0,ok,,,,,
mip_profiled,3,2,0.32,0.3157894736842105,0.4285714285714286,26,16,56.21563545009121,0.0041423151269555,0.0,ok,,,,,
